dataset,model,mean_rmse,std_rmse,mean_mae,mean_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets
gas_sensor_flow_modulation,oracle_mlp,0.07267013639211654,0.033757350581444474,0.04415200352668762,0.8520830869674683,0.14117983965901626,5,36,12,30,432,2
gas_sensor_flow_modulation,xgboost,0.08325593604826473,0.08786454097611174,0.039494867433980604,0.7964072938012482,0.287308612839875,5,36,12,30,432,2
gas_sensor_flow_modulation,two_stage_mlp,0.08648735135793686,0.10301718735676688,0.04981306828558445,-0.022598910331726074,2.2123891439256265,5,36,12,30,432,2
gas_sensor_flow_modulation,prism_z_xgboost,0.11011713848869673,0.07111942077921848,0.062021743665534035,0.6885054671839084,0.3727110017862431,5,36,12,30,432,2
gas_sensor_flow_modulation,prism_z_acp_random_forest,0.11182968595678802,0.07527195396208727,0.07003611225569305,0.47572621940153237,0.9566079049027334,5,36,12,30,432,2
gas_sensor_flow_modulation,prism_z_random_forest,0.11206223328707907,0.06337028737326295,0.07165277928528858,0.6224749292549203,0.6424339779587747,5,36,12,30,432,2
gas_sensor_flow_modulation,prism_z_acp_xgboost,0.11281364402832321,0.07366031332698969,0.06070398793040854,0.6395841499870398,0.4228817048675237,5,36,12,30,432,2
gas_sensor_flow_modulation,random_forest,0.12175623505670466,0.07043378968299317,0.06733055602650379,0.6984152682242954,0.36984761666475,5,36,12,30,432,2
gas_sensor_flow_modulation,cnn_mlp,0.21141906672679597,0.11555485741942281,0.14599175847444842,-3.244478805986956,8.064734390550043,5,36,12,30,432,2
gas_sensor_flow_modulation,lightgbm,0.2973292879003622,0.04094131870261232,0.23240741043291227,-1.7728842898831423,3.7508030536022186,5,36,12,30,432,2
gas_sensor_flow_modulation,prism_z_acp_lightgbm,0.2973292879003622,0.04094131870261232,0.23240741043291227,-1.7728842898831423,3.7508030536022186,5,36,12,30,432,2
gas_sensor_flow_modulation,prism_z_lightgbm,0.2973292879003622,0.04094131870261232,0.23240741043291227,-1.7728842898831423,3.7508030536022186,5,36,12,30,432,2
gas_turbine_co_nox,oracle_mlp,7.166654109954834,0.32721205547612514,5.91910982131958,0.024744778871536255,0.06914435385150494,5,17752,14542,4,5,2
gas_turbine_co_nox,xgboost,7.858470102594941,0.0419801828772511,6.574023820852238,-0.25831336901660695,0.011406166865530198,5,17752,14542,4,5,2
gas_turbine_co_nox,prism_z_xgboost,7.9015289859573254,0.037898367640303555,6.646443084510215,-0.28381981894765,0.010022680876896626,5,17752,14542,4,5,2
gas_turbine_co_nox,lightgbm,7.943711128001526,0.040118648134536174,6.605998943099945,-0.29028612563022776,0.011529292189231669,5,17752,14542,4,5,2
gas_turbine_co_nox,prism_z_lightgbm,8.000595300548795,0.056112845287310587,6.682387941602426,-0.3197862232915256,0.01911144618251238,5,17752,14542,4,5,2
