dataset,seed,model,n_rows,n_train,n_val,n_test,n_features,n_intermediates,n_targets,mean_rmse,mean_mae,mean_r2,target_rmse_json,target_r2_json,dropped_all_nan_cols,split_group_col,train_val_group_overlap,train_test_group_overlap,val_test_group_overlap,target_constant_within_group
energy_efficiency,1,prism_z_acp_lightgbm,768,491,123,154,8,1,1,1.7132194518956636,1.0377654713874982,0.9684686713312126,"{""target_cooling_load"": 1.7132194518956636}","{""target_cooling_load"": 0.9684686713312126}",,,0,0,0,False
energy_efficiency,1,prism_z_random_forest,768,491,123,154,8,1,1,2.0890982973679164,1.3254912814546944,0.9531149883534554,"{""target_cooling_load"": 2.0890982973679164}","{""target_cooling_load"": 0.9531149883534554}",,,0,0,0,False
energy_efficiency,1,prism_z_xgboost,768,491,123,154,8,1,1,1.62943601207995,1.037694934391849,0.9714772826140209,"{""target_cooling_load"": 1.62943601207995}","{""target_cooling_load"": 0.9714772826140209}",,,0,0,0,False
energy_efficiency,1,prism_z_lightgbm,768,491,123,154,8,1,1,1.6960029475995604,1.020729619069524,0.9690992170575115,"{""target_cooling_load"": 1.6960029475995604}","{""target_cooling_load"": 0.9690992170575115}",,,0,0,0,False
energy_efficiency,2,simple_mlp,768,491,123,154,8,1,1,1.4617743492126465,1.0768333673477173,0.9754712581634521,"{""target_cooling_load"": 1.4617743492126465}","{""target_cooling_load"": 0.9754712581634521}",,,0,0,0,False
energy_efficiency,2,random_forest,768,491,123,154,8,1,1,1.903526936849543,1.1583704855159371,0.9584058222593044,"{""target_cooling_load"": 1.903526936849543}","{""target_cooling_load"": 0.9584058222593044}",,,0,0,0,False
energy_efficiency,2,xgboost,768,491,123,154,8,1,1,1.1755896617608605,0.7936048984198228,0.9841355139957176,"{""target_cooling_load"": 1.1755896617608605}","{""target_cooling_load"": 0.9841355139957176}",,,0,0,0,False
energy_efficiency,2,lightgbm,768,491,123,154,8,1,1,1.3123391642603328,0.9196989176047013,0.9802300000172379,"{""target_cooling_load"": 1.3123391642603328}","{""target_cooling_load"": 0.9802300000172379}",,,0,0,0,False
energy_efficiency,2,cnn_mlp,768,491,123,154,8,1,1,1.387699817735242,0.9577792999817376,0.9778942348394649,"{""target_cooling_load"": 1.387699817735242}","{""target_cooling_load"": 0.9778942348394649}",,,0,0,0,False
energy_efficiency,2,ftt_mlp,768,491,123,154,8,1,1,2.3749357909178563,1.7994965574710144,0.935253211115721,"{""target_cooling_load"": 2.3749357909178563}","{""target_cooling_load"": 0.935253211115721}",,,0,0,0,False
energy_efficiency,2,two_stage_mlp,768,491,123,154,8,1,1,2.788459539413452,2.1080596446990967,0.9107428193092346,"{""target_cooling_load"": 2.788459539413452}","{""target_cooling_load"": 0.9107428193092346}",,,0,0,0,False
energy_efficiency,2,oracle_mlp,768,491,123,154,8,1,1,1.3295598030090332,0.9768837094306946,0.9797077178955078,"{""target_cooling_load"": 1.3295598030090332}","{""target_cooling_load"": 0.9797077178955078}",,,0,0,0,False
energy_efficiency,2,prism,768,491,123,154,8,1,1,1.0622516870498657,0.6817053556442261,0.987047016620636,"{""target_cooling_load"": 1.0622516870498657}","{""target_cooling_load"": 0.987047016620636}",,,0,0,0,False
energy_efficiency,2,prism_z_acp_random_forest,768,491,123,154,8,1,1,1.9314869825403298,1.244150814487418,0.9571749320680994,"{""target_cooling_load"": 1.9314869825403298}","{""target_cooling_load"": 0.9571749320680994}",,,0,0,0,False
energy_efficiency,2,prism_z_acp_xgboost,768,491,123,154,8,1,1,1.6810155934513016,1.0501218021716543,0.9675617083913344,"{""target_cooling_load"": 1.6810155934513016}","{""target_cooling_load"": 0.9675617083913344}",,,0,0,0,False
energy_efficiency,2,prism_z_acp_lightgbm,768,491,123,154,8,1,1,1.5703099582995264,1.0165835283466826,0.9716935596071036,"{""target_cooling_load"": 1.5703099582995264}","{""target_cooling_load"": 0.9716935596071036}",,,0,0,0,False
energy_efficiency,2,prism_z_random_forest,768,491,123,154,8,1,1,1.8684290450043923,1.2249311186279281,0.9599255372128046,"{""target_cooling_load"": 1.8684290450043923}","{""target_cooling_load"": 0.9599255372128046}",,,0,0,0,False
energy_efficiency,2,prism_z_xgboost,768,491,123,154,8,1,1,1.6323088170121416,1.0399025004168396,0.9694142494287459,"{""target_cooling_load"": 1.6323088170121416}","{""target_cooling_load"": 0.9694142494287459}",,,0,0,0,False
energy_efficiency,2,prism_z_lightgbm,768,491,123,154,8,1,1,1.6141058963591493,1.0640650917592336,0.9700926083853308,"{""target_cooling_load"": 1.6141058963591493}","{""target_cooling_load"": 0.9700926083853308}",,,0,0,0,False
energy_efficiency,3,simple_mlp,768,491,123,154,8,1,1,1.3916332721710205,0.8591932654380798,0.9791204929351807,"{""target_cooling_load"": 1.3916332721710205}","{""target_cooling_load"": 0.9791204929351807}",,,0,0,0,False
